pickup_year,pickup_area_code,count
2020,35.0,171268
2020,36.0,258429
2020,37.0,152694
2020,38.0,152032
2020,39.0,156411
2020,40.0,141215
2020,41.0,135976
2020,42.0,212326
2020,43.0,115469
2020,44.0,119903
2020,45.0,223944
2020,46.0,74272
2020,47.0,195976
2020,48.0,118350
2020,49.0,51583
2020,50.0,140715
2020,51.0,386827
2020,52.0,195789
2020,53.0,174646
2020,54.0,124685
2020,55.0,141087
2020,56.0,107229
2020,57.0,77698
2020,58.0,57453
2020,59.0,106112
2020,60.0,43055
2020,61.0,87442
2020,62.0,169388
2020,63.0,178495
2020,64.0,86974
2020,65.0,123833
2020,66.0,85626
2020,67.0,87991
2020,68.0,121976
2020,69.0,63292
2020,70.0,508005
2020,71.0,161079
2020,72.0,169819
2020,73.0,485791
2020,74.0,232278
2020,75.0,1192753
2020,76.0,1625309
2020,77.0,2732549
2020,78.0,716974
2020,79.0,312704
2020,80.0,294627
2020,81.0,473332
2020,82.0,808753
2020,83.0,224502
2020,84.0,340257
2020,85.0,339451
2020,86.0,181983
2020,87.0,223687
2020,88.0,180537
2020,89.0,76015
2020,90.0,223054
2020,91.0,99709
2020,92.0,155247
2020,93.0,479537
2020,94.0,148201
2020,95.0,815661
2020,96.0,147077
2020,97.0,148400
2020,98.0,308057
2020,99.0,133515
2020,100.0,159517
2020,101.0,110258
2020,102.0,87120
2020,103.0,100528
2020,104.0,424181
2020,105.0,86606
2020,106.0,116624
2020,107.0,174377
2020,108.0,139406
2020,109.0,83887
2020,110.0,110069
2020,111.0,186475
2020,112.0,72375
2020,113.0,164591
2020,114.0,42702
2020,115.0,123689
2020,116.0,61013
2020,117.0,175521
2020,118.0,147185
2020,119.0,314486
2020,120.0,227409
2020,121.0,88204
2020,122.0,148462
2020,123.0,91775
2020,124.0,127255
2020,125.0,79471
2020,126.0,196132
2020,127.0,310552
2020,128.0,159238
2020,129.0,89541
2020,130.0,121736
2020,131.0,161950
2020,132.0,233574
2020,133.0,28598
2020,134.0,72643
2020,135.0,99229
2020,136.0,169256
2020,137.0,361941
2020,138.0,143356
2020,139.0,85890
2020,140.0,29763
2020,,0
2021,1.0,543260
2021,2.0,218952
2021,3.0,72872
2021,4.0,67468
2021,5.0,77127
2021,6.0,137030
2021,7.0,110547
2021,8.0,47351
2021,9.0,76955
2021,10.0,43557
2021,11.0,77372
2021,12.0,40474
2021,13.0,74401
2021,14.0,595453
2021,15.0,66221
2021,16.0,160689
2021,17.0,349960
2021,18.0,100832
2021,19.0,89270
2021,20.0,77259
2021,21.0,131476
2021,22.0,130562
2021,23.0,93786
2021,24.0,167931
2021,25.0,278552
2021,26.0,464456
2021,27.0,512131
2021,28.0,67451
2021,29.0,61630
2021,30.0,181137
2021,31.0,339265
2021,32.0,154684
2021,33.0,168068
2021,34.0,108145
2021,35.0,165609
2021,36.0,223926
2021,37.0,122816
2021,38.0,129255
2021,39.0,149482
2021,40.0,120634
2021,41.0,133778
2021,42.0,189671
2021,43.0,109645
2021,44.0,114116
2021,45.0,204751
2021,46.0,64366
2021,47.0,171945
2021,48.0,83169
2021,49.0,46933
2021,50.0,122681
2021,51.0,306703
2021,52.0,177963
2021,53.0,151037
2021,54.0,121745
2021,55.0,134794
2021,56.0,104991
2021,57.0,73296
2021,58.0,55030
2021,59.0,102658
2021,60.0,40567
2021,61.0,79253
2021,62.0,157330
2021,63.0,180033
2021,64.0,87204
2021,65.0,115205
2021,66.0,79839
2021,67.0,80497
2021,68.0,113577
2021,69.0,55578
2021,70.0,506856
2021,71.0,144477
2021,72.0,168087
2021,73.0,453898
2021,74.0,204714
2021,75.0,1041148
2021,76.0,1353166
2021,77.0,2613417
2021,78.0,630796
2021,79.0,225406
2021,80.0,267699
2021,81.0,438313
2021,82.0,821991
2021,83.0,185742
2021,84.0,301254
2021,85.0,330050
2021,86.0,178942
2021,87.0,223692
2021,88.0,168393
2021,89.0,70098
2021,90.0,203908
2021,91.0,90372
2021,92.0,144765
2021,93.0,423644
2021,94.0,135459
2021,95.0,751621
2021,96.0,139262
2021,97.0,138182
2021,98.0,272328
2021,99.0,123205
2021,100.0,149320
2021,101.0,105253
2021,102.0,82125
2021,103.0,100947
2021,104.0,421072
2021,105.0,81780
2021,106.0,105712
2021,107.0,164043
2021,108.0,131562
2021,109.0,78119
2021,110.0,99776
2021,111.0,179668
2021,112.0,66518
2021,113.0,162313
2021,114.0,41298
2021,115.0,126537
2021,116.0,44571
2021,117.0,155061
2021,118.0,134799
2021,119.0,295951
2021,120.0,222082
2021,121.0,84358
2021,122.0,143990
2021,123.0,90550
2021,124.0,121625
2021,125.0,74700
2021,126.0,190903
2021,127.0,296941
2021,128.0,152222
2021,129.0,82250
2021,130.0,104239
2021,131.0,175659
2021,132.0,229054
2021,133.0,28510
2021,134.0,58912
2021,135.0,98143
2021,136.0,170928
2021,137.0,352837
2021,138.0,139286
2021,139.0,85218
2021,140.0,28607
2021,,0
2022,1.0,827552
2022,2.0,265887
2022,3.0,90544
2022,4.0,88271
2022,5.0,95109
2022,6.0,179846
2022,7.0,153355
2022,8.0,63809
2022,9.0,105051
2022,10.0,69664
2022,11.0,125280
2022,12.0,62299
2022,13.0,103179
2022,14.0,883367
2022,15.0,110430
2022,16.0,225970
2022,17.0,491932
2022,18.0,139590
2022,19.0,125376
2022,20.0,111735
2022,21.0,166917
2022,22.0,155969
2022,23.0,109479
2022,24.0,191005
2022,25.0,308717
2022,26.0,559524
2022,27.0,649423
2022,28.0,81429
2022,29.0,73001
2022,30.0,195990
2022,31.0,476587
2022,32.0,183008
2022,33.0,208271
2022,34.0,130823
2022,35.0,190212
2022,36.0,286808
2022,37.0,179101
2022,38.0,180755
2022,39.0,212238
2022,40.0,184997
2022,41.0,178242
2022,42.0,282104
2022,43.0,140439
2022,44.0,142138
2022,45.0,261209
2022,46.0,87944
2022,47.0,246566
2022,48.0,124811
2022,49.0,63535
2022,50.0,174501
2022,51.0,441538
2022,52.0,248097
2022,53.0,228361
2022,54.0,142336
2022,55.0,165709
2022,56.0,157812
2022,57.0,92385
2022,58.0,71928
2022,59.0,128387
2022,60.0,50881
2022,61.0,88079
2022,62.0,210225
2022,63.0,258422
2022,64.0,115694
2022,65.0,169953
2022,66.0,108713
2022,67.0,117107
2022,68.0,159990
2022,69.0,70853
2022,70.0,738277
2022,71.0,207989
2022,72.0,230069
2022,73.0,644605
2022,74.0,277349
2022,75.0,1682618
2022,76.0,2431690
2022,77.0,4475459
2022,78.0,1040620
2022,79.0,408094
2022,80.0,420247
2022,81.0,748072
2022,82.0,1452530
2022,83.0,259202
2022,84.0,507936
2022,85.0,480752
2022,86.0,262118
2022,87.0,297616
2022,88.0,232220
